AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
9.81,2.8,1.64,5.37,3.97,5.84,0.93,3.27,1.17,11.21,2.8,2.57,7.01,4.21,7.94,8.18,5.14,11.21,1.87,3.04
14.88,0.0,1.65,0.83,7.44,7.44,0.0,3.31,7.44,9.09,8.26,3.31,2.48,2.48,2.48,8.26,4.13,14.88,0.83,0.83
6.09,8.63,5.08,4.31,4.06,3.81,2.54,5.08,6.6,8.38,3.05,6.09,3.05,5.33,4.57,8.12,6.09,5.08,1.02,3.05
9.16,0.31,5.75,7.76,3.88,9.01,1.4,6.21,5.75,7.92,3.88,4.04,5.59,3.42,6.68,4.97,4.19,7.76,0.78,1.55
7.35,5.09,6.04,5.57,3.79,7.11,2.01,4.15,9.24,7.7,2.01,5.09,4.62,4.03,3.08,7.7,5.33,5.81,1.18,3.08
13.19,0.0,7.69,9.89,2.2,4.4,2.2,3.3,2.2,7.69,4.4,2.2,3.3,4.4,9.89,8.79,4.4,6.59,1.1,2.2
2.0,0.0,6.0,13.0,3.0,3.0,2.0,12.0,15.0,11.0,2.0,3.0,2.0,1.0,2.0,8.0,3.0,5.0,0.0,7.0
8.02,1.85,7.41,4.32,1.23,11.11,1.85,3.7,3.7,12.35,1.23,3.7,2.47,4.32,8.02,8.64,5.56,8.02,0.62,1.85
7.74,0.48,6.45,5.48,4.35,4.03,1.77,9.52,4.84,10.0,1.94,5.81,0.65,7.58,3.55,9.52,7.74,6.13,0.81,1.61
20.46,0.0,4.61,9.8,2.31,2.02,0.29,2.88,14.12,6.92,1.44,1.44,3.75,8.07,4.61,6.34,3.17,5.76,0.86,1.15
2.02,0.0,9.09,10.1,3.03,3.03,0.0,17.17,14.14,8.08,2.02,1.01,2.02,1.01,3.03,7.07,4.04,7.07,0.0,6.06
13.01,1.6,5.02,4.11,2.74,5.48,2.05,3.88,1.37,13.01,2.74,2.97,5.71,5.25,7.08,8.68,5.48,7.31,0.91,1.6
1.02,1.36,3.4,2.72,9.86,9.52,3.4,4.08,9.52,7.48,0.68,3.06,15.31,3.74,12.24,8.84,1.36,1.02,0.68,0.68
8.87,0.25,2.22,4.19,8.62,6.4,2.22,8.37,2.22,10.59,2.46,3.2,3.45,3.69,4.68,5.17,5.67,9.36,3.2,5.17
7.73,4.1,6.78,5.05,4.42,4.73,3.15,4.57,2.68,9.78,2.37,5.68,4.57,4.26,6.47,11.04,4.89,4.42,1.1,2.21
4.67,10.28,4.67,3.74,4.67,8.41,2.8,4.67,6.54,5.61,1.87,3.74,3.74,3.74,4.67,10.28,2.8,8.41,2.8,1.87
5.67,0.71,2.84,5.67,6.38,4.96,2.84,7.8,9.22,12.06,2.13,7.8,2.84,2.13,1.42,9.93,4.26,6.38,0.71,4.26
4.3,7.53,3.23,7.53,3.23,4.3,3.23,7.53,11.83,3.23,2.15,2.15,2.15,1.08,3.23,12.9,4.3,6.45,1.08,8.6
13.92,0.0,3.8,11.39,0.0,7.59,0.0,7.59,2.53,7.59,2.53,0.0,2.53,5.06,13.92,6.33,8.86,3.8,0.0,2.53
6.05,1.91,3.18,3.82,6.37,5.1,2.55,5.73,6.37,12.1,2.55,4.14,4.78,5.73,4.14,7.32,7.64,4.46,1.27,4.78
4.05,0.0,3.47,10.4,2.31,4.05,0.0,3.47,17.92,9.25,1.16,7.51,1.73,4.62,6.36,9.83,5.78,4.62,0.0,3.47
3.15,3.15,7.09,3.15,1.57,3.15,0.0,7.09,6.3,16.54,5.51,2.36,7.87,7.87,7.09,5.51,6.3,6.3,0.0,0.0
0.0,10.0,0.0,0.0,8.0,4.0,4.0,14.0,10.0,6.0,6.0,4.0,4.0,0.0,6.0,8.0,8.0,6.0,0.0,2.0
11.28,1.5,9.02,3.01,2.26,5.26,6.77,6.02,1.5,11.28,1.5,0.0,4.51,3.76,11.28,5.26,6.02,4.51,2.26,3.01
1.64,13.11,6.56,3.28,0.0,8.2,3.28,3.28,8.2,4.92,1.64,3.28,8.2,0.0,8.2,8.2,8.2,3.28,0.0,6.56
12.5,0.0,7.29,5.21,0.0,4.17,2.08,10.42,3.12,8.33,2.08,0.0,6.25,3.12,13.54,4.17,4.17,7.29,2.08,4.17
0.0,13.33,0.0,6.67,4.44,6.67,4.44,0.0,8.89,0.0,2.22,6.67,6.67,2.22,6.67,8.89,8.89,4.44,6.67,2.22
7.3,0.0,4.44,5.4,5.08,9.21,4.76,4.76,2.86,4.76,0.95,4.44,3.49,5.4,6.03,8.89,8.57,9.21,2.22,2.22
9.56,1.66,3.9,9.76,1.95,10.54,2.73,1.17,0.88,13.95,1.56,1.07,8.1,6.15,7.22,5.56,4.78,7.41,0.78,1.27
4.11,13.7,2.74,2.74,5.48,2.74,0.0,9.59,10.96,9.59,1.37,4.11,5.48,2.74,2.74,6.85,4.11,6.85,0.0,4.11
7.5,0.0,5.0,7.5,2.5,7.5,5.0,3.75,1.25,8.75,6.25,2.5,1.25,3.75,8.75,7.5,6.25,13.75,0.0,1.25
4.76,0.0,4.76,13.1,1.19,2.38,0.0,17.86,13.1,8.33,3.57,9.52,2.38,1.19,4.76,2.38,1.19,3.57,0.0,5.95
13.28,8.59,0.78,3.12,1.56,5.47,1.56,0.78,4.69,14.06,0.78,5.47,4.69,6.25,2.34,10.94,6.25,7.03,2.34,0.0
2.58,1.29,5.16,8.39,5.81,3.23,0.65,15.48,12.26,8.39,1.29,9.68,4.52,0.0,2.58,6.45,3.87,5.81,0.0,2.58
9.76,14.63,7.32,6.1,3.66,9.76,4.88,4.88,1.22,0.0,0.0,4.88,2.44,3.66,7.32,4.88,6.1,6.1,1.22,1.22
4.71,8.24,1.18,3.53,11.76,14.12,1.18,9.41,5.88,4.71,1.18,4.71,3.53,2.35,8.24,4.71,4.71,1.18,0.0,4.71
7.38,6.71,4.03,2.68,4.03,12.08,0.67,4.03,4.03,9.4,2.68,3.36,5.37,7.38,5.37,4.7,4.7,4.03,4.03,3.36
4.82,7.23,6.02,9.64,0.0,6.02,0.0,9.64,2.41,13.25,4.82,0.0,8.43,4.82,0.0,8.43,3.61,6.02,1.2,3.61
4.55,0.0,4.55,9.09,5.45,8.18,0.0,5.45,9.09,10.0,4.55,4.55,0.91,4.55,9.09,6.36,2.73,3.64,0.91,6.36
6.62,0.87,6.89,8.86,2.57,4.98,2.24,3.55,6.07,8.58,2.52,3.23,7.11,6.07,7.87,8.2,5.25,4.92,0.82,2.79
12.62,6.8,1.94,8.74,0.97,4.85,0.97,6.8,5.83,10.68,2.91,2.91,4.85,2.91,4.85,8.74,0.97,3.88,5.83,1.94
6.54,1.63,5.99,6.42,3.27,6.11,1.69,6.48,6.42,8.6,1.88,4.84,4.36,4.48,4.72,6.48,6.78,8.23,0.97,4.12
6.85,8.22,5.48,1.37,4.11,6.85,0.0,4.11,2.74,15.07,2.74,4.11,4.11,1.37,4.11,9.59,8.22,8.22,2.74,0.0
5.9,2.49,5.67,7.03,1.36,5.44,2.72,4.31,3.63,10.88,2.27,5.44,4.99,4.54,7.94,10.66,7.94,4.31,0.45,2.04
5.04,1.18,5.21,7.56,2.86,8.07,3.03,5.21,7.23,7.9,1.85,4.37,4.03,6.39,5.71,6.72,5.71,6.22,1.51,4.2
4.95,0.0,7.92,5.94,2.97,3.96,1.98,7.92,3.96,6.93,5.94,2.97,3.96,1.98,8.91,8.91,3.96,10.89,1.98,3.96
9.8,0.98,4.9,10.78,0.0,6.86,0.98,2.94,0.0,14.71,1.96,0.0,7.84,2.94,10.78,5.88,8.82,8.82,0.0,0.98
9.86,9.86,7.04,4.23,5.63,5.63,0.0,2.82,4.23,7.04,2.82,1.41,8.45,4.23,0.0,9.86,4.23,9.86,1.41,1.41
11.29,0.0,3.23,11.29,1.61,3.23,0.0,9.68,11.29,19.35,4.84,4.84,0.0,1.61,1.61,1.61,12.9,1.61,0.0,0.0
16.54,1.5,7.52,6.02,0.75,4.51,3.01,4.51,2.26,15.79,0.75,2.26,5.26,1.5,6.77,5.26,3.01,8.27,0.75,3.76
5.77,7.69,4.49,1.28,6.41,9.62,2.56,4.49,8.33,7.05,1.92,6.41,3.21,3.85,3.21,5.13,5.77,2.56,2.56,7.69
10.42,1.56,5.47,6.51,2.86,9.11,2.34,6.77,4.43,10.94,1.04,3.39,3.65,2.86,4.43,6.51,7.81,6.51,1.82,1.56
8.4,5.04,5.04,8.4,5.88,5.88,1.68,5.04,6.72,8.4,3.36,6.72,6.72,3.36,0.84,5.04,5.88,4.2,0.0,3.36
9.95,0.5,3.48,6.97,3.48,8.96,2.49,2.49,6.97,11.94,1.49,1.99,3.48,4.98,8.46,5.47,4.98,9.45,1.0,1.49
3.15,1.15,8.6,7.16,3.15,2.58,0.86,7.45,9.74,10.89,1.43,9.46,4.58,5.16,3.72,9.17,3.15,4.3,1.43,2.87
8.11,1.16,4.25,6.56,3.47,8.88,2.7,4.25,4.63,8.49,2.32,3.86,9.27,3.47,5.79,13.51,4.63,2.32,1.54,0.77
3.83,0.55,3.83,6.56,6.01,2.73,2.73,6.01,14.21,9.84,3.83,5.46,4.37,2.19,3.83,7.65,3.83,4.92,0.0,7.65
5.69,0.81,5.69,8.94,4.88,5.69,1.63,6.5,4.07,13.01,4.07,4.88,4.07,1.63,3.25,7.32,8.13,7.32,0.81,1.63
12.8,1.6,7.2,6.4,2.4,11.2,1.6,1.6,7.2,10.4,2.4,1.6,5.6,6.4,8.0,7.2,1.6,4.0,0.0,0.8
9.45,0.39,5.51,6.3,5.91,6.69,2.36,6.69,9.45,8.27,1.97,3.54,4.33,2.36,3.15,7.87,5.12,7.87,1.57,1.18
15.12,6.98,5.81,2.33,6.98,4.65,1.16,6.98,6.98,6.98,3.49,6.98,2.33,1.16,5.81,6.98,3.49,5.81,0.0,0.0
8.07,0.58,6.1,8.15,4.2,4.45,1.89,7.08,8.65,10.71,1.98,6.84,3.38,2.55,3.54,7.0,5.77,5.93,0.25,2.88
9.51,0.38,4.94,6.08,4.94,4.56,3.42,5.32,8.37,11.03,2.66,2.28,4.56,4.94,3.42,10.65,4.56,5.32,1.14,1.9
3.33,0.0,3.33,6.67,6.67,13.33,3.33,1.67,15.0,8.33,3.33,1.67,1.67,5.0,5.0,8.33,3.33,6.67,1.67,1.67
6.67,3.33,8.33,8.33,6.67,3.33,0.0,3.33,13.33,3.33,8.33,3.33,0.0,3.33,1.67,1.67,6.67,13.33,3.33,1.67
13.95,0.0,11.63,4.65,3.49,4.65,1.16,8.14,8.14,11.63,2.33,4.65,2.33,3.49,5.81,3.49,4.65,5.81,0.0,0.0
2.6,1.3,0.0,2.6,10.39,11.69,0.0,11.69,5.19,20.78,5.19,2.6,1.3,1.3,2.6,3.9,2.6,7.79,0.0,6.49
9.63,0.04,6.8,5.51,3.16,11.39,2.39,4.52,5.35,7.57,1.78,7.31,2.0,4.98,2.83,7.39,6.1,7.72,1.1,2.44
4.68,2.58,4.92,6.56,3.63,5.04,3.51,5.04,7.26,8.78,1.87,4.33,5.15,4.68,5.39,11.24,5.27,6.79,0.59,2.69
4.0,6.0,1.33,9.33,2.67,6.67,1.33,4.67,5.33,7.33,2.67,0.67,7.33,4.0,8.0,10.67,6.0,9.33,0.67,2.0
11.4,0.0,6.14,2.63,0.88,4.39,0.88,5.26,1.75,10.53,2.63,4.39,7.89,1.75,8.77,7.02,8.77,12.28,0.88,1.75
11.21,8.62,1.72,1.72,5.17,4.31,2.59,0.0,3.45,11.21,5.17,2.59,6.03,1.72,3.45,5.17,10.34,7.76,0.86,6.9
4.76,8.33,1.19,11.9,5.95,3.57,2.38,3.57,13.1,10.71,3.57,3.57,4.76,2.38,3.57,2.38,4.76,7.14,0.0,2.38
8.33,0.0,6.25,11.81,3.47,6.94,1.39,5.56,6.94,13.19,2.08,2.78,1.39,2.78,7.64,7.64,4.17,4.86,0.0,2.78
8.08,10.1,7.07,7.07,2.02,7.07,4.04,5.05,0.0,4.04,1.01,5.05,3.03,1.01,3.03,10.1,10.1,7.07,0.0,5.05
0.0,1.64,4.1,18.03,2.46,3.28,1.64,5.74,9.84,12.3,2.46,5.74,2.46,5.74,11.48,2.46,0.82,3.28,5.74,0.82
3.92,15.69,0.0,1.96,1.96,13.73,1.96,5.88,15.69,11.76,0.0,3.92,5.88,0.0,7.84,3.92,1.96,0.0,1.96,1.96
9.86,0.0,9.86,5.63,9.86,7.04,0.0,7.04,4.23,16.9,4.23,4.23,0.0,5.63,4.23,4.23,1.41,4.23,1.41,0.0
1.05,3.16,4.21,6.32,3.16,3.16,0.0,10.53,8.42,11.58,3.16,8.42,3.16,1.05,2.11,11.58,5.26,5.26,1.05,7.37
9.3,8.14,6.98,8.14,2.33,5.81,3.49,2.33,6.98,9.3,2.33,1.16,0.0,3.49,3.49,8.14,2.33,10.47,3.49,2.33
5.26,0.75,3.76,5.26,2.26,9.77,1.5,4.51,3.76,9.02,3.76,3.76,5.26,3.01,12.03,3.76,9.02,11.28,1.5,0.75
9.76,7.32,6.1,7.32,3.66,2.44,0.0,1.22,9.76,7.32,1.22,8.54,3.66,0.0,4.88,7.32,7.32,7.32,0.0,4.88
3.82,2.29,5.73,6.49,1.91,7.63,2.67,6.49,5.34,10.69,4.58,1.91,5.34,4.58,6.11,7.25,6.87,5.34,2.67,2.29
1.43,10.0,5.71,7.14,10.0,2.86,0.0,8.57,7.14,7.14,5.71,1.43,5.71,2.86,7.14,8.57,0.0,5.71,0.0,2.86
6.1,9.76,3.66,8.54,3.66,4.88,1.22,7.32,3.66,9.76,2.44,1.22,4.88,4.88,4.88,10.98,1.22,6.1,0.0,4.88
7.18,0.44,6.16,6.74,2.93,5.72,1.03,8.94,7.48,8.06,2.64,5.57,3.52,2.93,4.69,8.65,6.45,6.74,0.88,3.23
1.85,12.96,7.41,5.56,1.85,0.0,1.85,9.26,12.96,5.56,0.0,3.7,0.0,3.7,3.7,7.41,5.56,12.96,1.85,1.85
9.89,0.15,6.96,4.95,5.1,8.81,1.7,4.64,4.95,7.73,2.94,4.79,5.26,4.17,3.86,7.11,5.56,5.87,1.55,4.02
9.0,4.0,5.6,6.8,2.6,5.0,3.0,3.2,4.0,10.2,2.8,3.6,7.0,3.8,6.6,11.6,6.0,3.2,0.8,1.2
3.94,1.13,1.97,2.82,7.89,5.92,2.82,16.06,3.66,14.37,2.54,2.25,4.51,2.82,2.82,6.48,3.94,8.45,1.97,3.66
8.87,1.48,7.21,7.95,2.22,6.84,2.03,8.13,7.95,8.87,4.44,3.14,3.33,4.44,4.62,4.25,5.36,7.39,0.37,1.11
5.65,0.4,6.05,3.23,3.63,6.05,0.4,5.24,8.06,6.45,4.84,4.44,5.24,2.82,6.05,8.87,6.85,9.68,2.42,3.63
2.5,0.0,14.17,7.5,2.5,2.5,0.0,4.17,9.17,9.17,3.33,7.5,3.33,3.33,2.5,6.67,5.0,7.5,0.83,8.33
7.77,1.47,5.46,5.62,3.73,7.46,3.05,5.36,4.67,9.66,2.26,3.47,5.09,4.83,5.88,6.93,6.2,7.35,1.58,2.15
8.48,1.75,5.85,9.65,4.68,4.09,2.63,4.09,5.56,10.23,2.92,2.92,4.68,2.34,6.14,6.14,6.73,5.85,1.75,3.51
10.81,1.8,6.31,2.7,3.15,14.41,2.7,7.66,5.86,5.41,1.8,6.31,2.7,1.8,3.15,9.01,4.95,5.86,1.8,1.8
12.62,0.0,4.45,8.16,2.6,8.35,2.23,6.31,2.6,10.39,1.67,3.53,4.08,4.27,7.42,5.75,5.01,8.16,0.0,2.41
13.75,1.35,6.74,5.39,1.89,7.01,2.16,3.23,2.43,10.78,1.62,4.85,4.58,4.58,7.01,6.74,4.31,5.39,2.96,3.23
6.9,10.34,3.45,5.17,1.72,5.17,1.72,5.17,8.62,6.9,8.62,5.17,5.17,0.0,1.72,3.45,5.17,13.79,0.0,1.72
7.01,1.4,6.07,7.01,5.14,5.61,2.34,6.54,6.54,11.68,3.27,3.74,3.74,4.21,5.14,3.74,3.74,7.94,1.87,3.27
6.4,2.13,5.92,8.29,4.27,7.35,1.18,4.27,12.56,9.24,3.32,4.98,5.69,3.55,2.37,3.08,6.4,5.92,0.95,2.13
4.86,0.69,9.72,8.33,4.86,6.25,2.08,8.33,6.94,13.19,2.78,0.69,2.08,5.56,4.86,4.86,4.86,4.17,0.69,4.17
7.23,5.42,6.63,5.42,4.82,3.61,4.22,8.43,2.41,10.24,1.81,2.41,5.42,4.22,5.42,6.63,5.42,5.42,0.6,4.22
5.56,0.0,2.22,13.33,3.33,0.0,2.22,5.56,5.56,13.33,2.22,10.0,1.11,7.78,3.33,4.44,4.44,8.89,1.11,5.56
9.57,9.57,6.38,4.26,1.06,8.51,2.13,1.06,1.06,8.51,3.19,2.13,6.38,3.19,10.64,7.45,5.32,4.26,1.06,4.26
6.56,16.39,0.0,8.2,1.64,4.92,1.64,1.64,11.48,13.11,4.92,6.56,4.92,1.64,4.92,1.64,3.28,4.92,0.0,1.64
9.17,1.25,3.75,4.17,5.0,5.0,3.33,6.67,8.33,7.5,2.5,6.25,5.0,4.58,2.92,8.75,7.5,5.83,0.0,2.5
3.65,7.76,6.85,8.22,7.31,5.02,4.57,4.11,8.68,6.85,3.65,3.65,3.2,6.39,2.74,4.57,5.48,3.65,0.91,2.74
3.45,10.34,4.6,11.49,6.9,2.3,1.15,4.6,6.9,5.75,2.3,3.45,4.6,3.45,5.75,8.05,3.45,5.75,4.6,1.15
6.19,3.1,3.33,2.14,5.71,5.0,1.43,9.29,3.57,10.95,1.9,5.24,3.57,4.76,5.48,6.9,6.19,9.76,2.14,3.33
11.69,0.0,2.6,18.18,2.6,3.9,0.0,5.19,6.49,11.69,1.3,1.3,2.6,0.0,20.78,5.19,0.0,5.19,0.0,1.3
3.53,12.94,4.71,8.24,0.0,5.88,2.35,7.06,3.53,15.29,4.71,1.18,12.94,2.35,0.0,3.53,2.35,3.53,3.53,2.35
5.61,1.22,3.92,6.28,5.74,5.68,1.69,8.04,6.22,12.36,2.5,3.65,3.04,4.53,5.27,8.31,5.61,6.08,1.55,2.7
6.76,10.81,4.05,5.41,0.0,12.16,1.35,1.35,2.7,12.16,4.05,2.7,5.41,1.35,4.05,13.51,6.76,4.05,0.0,1.35
3.17,12.7,4.76,1.59,3.17,3.17,0.0,11.11,4.76,11.11,1.59,3.17,3.17,4.76,4.76,11.11,3.17,6.35,0.0,6.35
3.95,2.63,2.63,3.95,5.26,10.53,1.32,3.95,2.63,17.11,3.95,1.32,2.63,0.0,9.21,2.63,5.26,11.84,2.63,6.58
14.36,0.55,11.05,6.63,3.31,4.42,1.66,3.87,1.66,9.94,1.1,0.55,7.18,4.97,8.29,2.21,8.84,4.97,0.55,3.87
3.66,12.2,6.1,6.1,2.44,10.98,1.22,2.44,4.88,12.2,1.22,3.66,2.44,2.44,3.66,7.32,6.1,6.1,2.44,2.44
17.6,1.6,11.2,4.0,0.8,4.0,3.2,4.0,1.6,8.8,2.4,1.6,3.2,2.4,9.6,9.6,4.8,5.6,2.4,1.6
7.35,1.55,5.8,4.64,3.48,6.77,3.09,6.19,5.03,11.61,1.74,2.32,5.42,2.9,4.84,11.03,6.58,4.64,2.32,2.71
12.86,7.14,2.86,7.14,2.86,1.43,1.43,7.14,4.29,11.43,2.86,5.71,10.0,4.29,7.14,4.29,1.43,2.86,2.86,0.0
3.7,0.97,5.85,5.07,5.07,6.82,1.75,8.19,7.99,7.99,2.14,8.38,4.87,3.9,2.53,7.21,5.46,5.85,0.97,5.26
6.27,1.25,3.45,4.7,5.33,5.33,2.19,6.27,1.57,8.46,1.88,5.33,2.82,4.39,7.52,10.66,9.72,8.46,0.94,3.45
8.33,20.83,8.33,4.17,4.17,4.17,2.08,2.08,10.42,6.25,2.08,4.17,2.08,0.0,8.33,2.08,2.08,4.17,0.0,4.17
7.23,1.2,4.82,7.23,0.0,6.02,0.0,8.43,3.61,9.64,4.82,7.23,4.82,7.23,4.82,8.43,3.61,6.02,3.61,1.2
2.88,1.44,5.76,5.4,5.76,4.32,0.0,8.27,10.43,11.15,3.6,9.71,1.08,4.68,2.88,8.99,3.24,4.68,0.72,5.04
7.58,9.09,6.06,3.03,9.09,4.55,1.52,4.55,1.52,7.58,3.03,6.06,1.52,3.03,4.55,4.55,10.61,9.09,1.52,1.52
5.54,0.45,7.04,6.89,5.54,5.31,1.27,7.04,7.71,7.49,2.1,6.74,2.77,3.74,3.97,7.63,6.29,6.06,1.12,5.31
25.32,1.27,0.0,10.13,1.27,3.8,1.27,6.33,5.06,13.92,5.06,1.27,10.13,2.53,1.27,5.06,1.27,5.06,0.0,0.0
12.2,0.18,5.37,2.82,1.46,12.11,0.88,4.98,3.07,10.35,1.18,7.13,2.12,6.43,4.34,8.86,8.68,5.61,0.64,1.58
5.33,0.67,6.0,8.67,5.33,4.67,1.33,10.0,8.67,12.67,1.33,7.33,3.33,3.33,4.0,4.0,3.33,5.33,1.33,3.33
12.71,0.85,5.08,5.08,0.85,5.08,0.85,5.08,2.54,11.02,1.69,4.24,4.24,5.93,9.32,5.93,6.78,10.17,1.69,0.85
6.25,8.75,7.5,5.0,1.25,5.0,0.0,3.75,1.25,13.75,2.5,5.0,3.75,1.25,2.5,12.5,12.5,2.5,1.25,3.75
0.84,0.84,5.88,10.92,9.24,3.36,3.36,8.4,10.92,10.08,2.52,5.04,3.36,2.52,4.2,3.36,5.04,0.84,0.0,9.24
13.55,1.59,3.19,10.36,3.19,8.76,1.59,5.18,6.37,7.17,1.99,2.79,3.59,2.79,2.79,7.17,5.18,10.36,0.8,1.59
7.17,3.52,4.5,4.78,5.2,6.89,3.66,3.09,6.05,9.42,1.41,3.8,4.36,5.49,5.49,9.56,4.64,5.49,1.55,3.94
6.93,2.51,4.28,5.16,5.6,7.23,1.92,4.87,4.57,12.68,4.13,3.1,3.54,2.95,5.31,8.7,4.72,7.23,0.88,3.69
11.31,0.91,6.99,6.83,2.51,11.24,2.28,2.35,1.59,9.95,0.76,1.67,4.71,4.56,11.16,5.01,3.87,6.07,2.05,4.18
12.35,1.23,9.88,7.41,2.47,4.94,3.7,4.94,3.7,7.41,1.23,0.0,3.7,2.47,9.88,4.94,1.23,13.58,0.0,4.94
7.14,0.17,5.55,7.85,3.52,5.07,1.96,7.07,8.93,8.45,1.86,6.32,4.6,4.53,4.26,7.64,5.38,4.77,1.12,3.82
5.86,2.47,8.33,6.17,3.09,6.17,1.54,6.17,9.26,7.72,2.47,5.25,3.09,2.16,6.17,7.72,3.7,6.79,2.78,3.09
7.01,1.86,5.98,4.33,4.33,5.15,1.86,5.57,6.19,6.6,1.24,6.19,4.33,5.15,4.33,6.8,8.45,8.25,3.09,3.3
9.87,0.66,4.93,12.83,0.66,4.93,0.99,1.97,10.2,11.51,1.97,1.97,2.96,8.88,8.55,5.59,3.29,5.59,0.66,1.97
2.8,1.4,4.9,7.69,4.9,8.39,1.4,4.9,3.5,13.99,3.5,6.29,3.5,5.59,2.8,8.39,3.5,6.29,1.4,4.9
5.77,0.0,2.88,9.62,2.88,4.81,5.77,3.85,3.85,13.46,1.92,5.77,2.88,4.81,6.73,10.58,5.77,7.69,0.96,0.0
7.66,1.91,3.83,8.13,2.39,4.31,1.44,4.31,7.18,14.35,2.39,2.39,2.87,3.83,7.66,7.66,4.78,5.74,1.91,5.26
8.15,0.69,5.2,6.76,3.29,9.19,2.08,7.11,6.76,8.49,2.25,3.12,4.51,2.43,4.51,8.67,5.72,6.93,0.52,3.64
8.26,1.24,6.2,6.2,9.5,5.37,2.89,6.61,4.96,9.5,1.65,3.31,4.13,3.72,3.72,4.96,3.31,7.85,2.07,4.55
2.78,11.11,2.78,5.56,8.33,2.78,5.56,8.33,5.56,0.0,0.0,2.78,0.0,2.78,2.78,8.33,13.89,11.11,2.78,2.78
5.64,6.12,4.99,8.53,3.54,7.41,3.06,6.12,6.44,6.92,2.42,6.92,4.51,3.06,3.06,5.64,5.64,4.99,0.64,4.35
4.29,10.73,3.43,5.15,0.86,5.15,0.0,1.72,3.86,3.86,0.43,6.01,15.88,5.15,8.58,5.58,3.0,13.73,0.0,2.58
13.03,0.21,7.98,10.29,3.15,4.41,1.89,3.99,1.26,11.13,0.21,1.68,4.83,3.78,10.08,5.25,4.2,8.4,1.26,2.94
10.79,0.72,9.35,3.6,1.44,3.6,2.16,7.19,5.04,12.95,2.16,4.32,0.72,10.79,4.32,6.47,5.04,5.76,1.44,2.16
